"media_file_path","time_in_video","Duration","behavior","subject","modifier_1","modifier_2","modifier_3","Group_size","Female","Male","Chasing_end","Chasing_present","total_time_of_courtship","Trial","Time_of_Day","Date_filmed","Day_filmed","Max_length","Min_length","Difference","Chasing_numeric","Chasing_end_numeric"
"D:/Pipefish Mesocosm Film/Trial 4/10-12-20/10-12 Noon 01.MTS",95.461,70.544,"Inactive","Female","","","",2,1,1,"No","Yes",71.588,"Trial 4","Noon","10","7",123.6,86.8,36.8,1,0
"D:/Pipefish Mesocosm Film/Trial 4/10-12-20/10-12 Noon 01.MTS",95.461,7.119,"Wiggle","Male","Active wiggle","Female","2",2,1,1,"No","Yes",71.588,"Trial 4","Noon","10","7",123.6,86.8,36.8,1,0
"D:/Pipefish Mesocosm Film/Trial 4/10-12-20/10-12 Noon 01.MTS",102.581,63.424,"Inactive","Male","","","",2,1,1,"No","Yes",71.588,"Trial 4","Noon","10","7",123.6,86.8,36.8,1,0
"D:/Pipefish Mesocosm Film/Trial 4/10-12-20/10-12 Noon 01.MTS",205.599,9.3,"Pose","Female","S pose","Male","Front",2,1,1,"No","No",152.209,"Trial 4","Noon","10","7",123.6,86.8,36.8,0,0
"D:/Pipefish Mesocosm Film/Trial 4/10-12-20/10-12 Noon 01.MTS",207.21,3.609,"Wiggle","Male","Active wiggle","Female","2",2,1,1,"No","No",152.209,"Trial 4","Noon","10","7",123.6,86.8,36.8,0,0
"D:/Pipefish Mesocosm Film/Trial 4/10-12-20/10-12 Noon 01.MTS",210.82,8.545,"Inactive","Male","","","",2,1,1,"No","No",152.209,"Trial 4","Noon","10","7",123.6,86.8,36.8,0,0
"D:/Pipefish Mesocosm Film/Trial 4/10-12-20/10-12 Noon 01.MTS",214.9,94.122,"Inactive","Female","","","",2,1,1,"No","No",152.209,"Trial 4","Noon","10","7",123.6,86.8,36.8,0,0
"D:/Pipefish Mesocosm Film/Trial 4/10-12-20/10-12 Noon 01.MTS",219.366,3.7,"Wiggle","Male","Subtle wiggle","Female","2",2,1,1,"No","No",152.209,"Trial 4","Noon","10","7",123.6,86.8,36.8,0,0
"D:/Pipefish Mesocosm Film/Trial 4/10-12-20/10-12 Noon 01.MTS",223.067,55.541,"Inactive","Male","","","",2,1,1,"No","No",152.209,"Trial 4","Noon","10","7",123.6,86.8,36.8,0,0
"D:/Pipefish Mesocosm Film/Trial 4/10-12-20/10-12 Noon 01.MTS",278.609,5.031,"Wiggle","Male","Active wiggle","Female","2",2,1,1,"No","No",152.209,"Trial 4","Noon","10","7",123.6,86.8,36.8,0,0
