"combo","media_file_path","time_in_video","Duration","behavior","subject","modifier_1","modifier_2","modifier_3","bout_number","total_time_of_courtship","Trial","Time_of_Day","Date_filmed","Day_filmed","Group_size","Female","Male","Chasing_present","Chasing_numeric","Chasing_end","Chasing_end_numeric"
"D:/PipefishMesocosmFilm/Trial10/12-12-20/12-12AM02.MTS_5406.21_24.491_24.871","D:/Pipefish Mesocosm Film/Trial 10/12-12-20/12-12 AM 02.MTS",5406.21,24.491,"Inactive","Male","","","",1,24.8710000000001,"Trial 10","AM",12,3,2,1,1,"No",0,"No",0
"D:/PipefishMesocosmFilm/Trial10/12-12-20/12-12AM02.MTS_5406.21_4.077_24.871","D:/Pipefish Mesocosm Film/Trial 10/12-12-20/12-12 AM 02.MTS",5406.21,4.07700000000023,"Wiggle","Female","Active wiggle","Male","2",1,24.8710000000001,"Trial 10","AM",12,3,2,1,1,"No",0,"No",0
"D:/PipefishMesocosmFilm/Trial10/12-12-20/12-12AM02.MTS_5410.288_20.413_24.871","D:/Pipefish Mesocosm Film/Trial 10/12-12-20/12-12 AM 02.MTS",5410.288,20.4130000000005,"Inactive","Female","","","",1,24.8710000000001,"Trial 10","AM",12,3,2,1,1,"No",0,"No",0
"D:/PipefishMesocosmFilm/Trial1/8-12-20/8-12AM01.MTS_58.241_5.98_55.922","D:/Pipefish Mesocosm Film/Trial 1/8-12-20/8-12 AM 01.MTS",58.241,5.98,"Wiggle","Female","Active wiggle","Male","3",2,55.922,"Trial 1","AM",8,7,2,1,1,"No",0,"No",0
"D:/PipefishMesocosmFilm/Trial1/8-12-20/8-12AM01.MTS_59.949_53.835_55.922","D:/Pipefish Mesocosm Film/Trial 1/8-12-20/8-12 AM 01.MTS",59.949,53.835,"Inactive","Male","","","",2,55.922,"Trial 1","AM",8,7,2,1,1,"No",0,"No",0
"D:/PipefishMesocosmFilm/Trial1/8-12-20/8-12AM01.MTS_64.222_3.798_55.922","D:/Pipefish Mesocosm Film/Trial 1/8-12-20/8-12 AM 01.MTS",64.222,3.798,"Pose","Female","Non-s pose","Male","Front",2,55.922,"Trial 1","AM",8,7,2,1,1,"No",0,"No",0
"D:/PipefishMesocosmFilm/Trial1/8-12-20/8-12AM01.MTS_67.641_0_55.922","D:/Pipefish Mesocosm Film/Trial 1/8-12-20/8-12 AM 01.MTS",67.641,0,"Move away","Male","","","",2,55.922,"Trial 1","AM",8,7,2,1,1,"No",0,"No",0
"D:/PipefishMesocosmFilm/Trial1/8-12-20/8-12AM01.MTS_68.021_46.138_55.922","D:/Pipefish Mesocosm Film/Trial 1/8-12-20/8-12 AM 01.MTS",68.021,46.138,"Inactive","Female","","","",2,55.922,"Trial 1","AM",8,7,2,1,1,"No",0,"No",0
"D:/PipefishMesocosmFilm/Trial1/8-12-20/8-12AM01.MTS_78.558_0_55.922","D:/Pipefish Mesocosm Film/Trial 1/8-12-20/8-12 AM 01.MTS",78.558,0,"Touch","Female","","","",2,55.922,"Trial 1","AM",8,7,2,1,1,"No",0,"No",0
"D:/PipefishMesocosmFilm/Trial1/8-12-20/8-12AM01.MTS_89_0_55.922","D:/Pipefish Mesocosm Film/Trial 1/8-12-20/8-12 AM 01.MTS",89,0,"Move away","Male","","","",2,55.922,"Trial 1","AM",8,7,2,1,1,"No",0,"No",0
