"media_file_path","time_in_video","Duration","behavior","subject","modifier_1","modifier_2","modifier_3","bout_number","total_time_of_courtship","Trial","Time_of_Day","Date_filmed","Day_filmed"
"D:/Pipefish Mesocosm Film/Trial 10/12-12-20/12-12 AM 02.MTS",5406.21,4.07700000000023,"Wiggle","Female","Active wiggle","Male","2",1,24.8710000000001,"Trial 10","AM","12","3"
"D:/Pipefish Mesocosm Film/Trial 10/12-12-20/12-12 AM 02.MTS",5406.21,24.491,"Inactive","Male","","","",1,24.8710000000001,"Trial 10","AM","12","3"
"D:/Pipefish Mesocosm Film/Trial 10/12-12-20/12-12 AM 02.MTS",5410.288,20.4130000000005,"Inactive","Female","","","",1,24.8710000000001,"Trial 10","AM","12","3"
"D:/Pipefish Mesocosm Film/Trial 1/8-12-20/8-12 AM 01.MTS",58.241,5.98,"Wiggle","Female","Active wiggle","Male","3",2,55.922,"Trial 1","AM","8","7"
"D:/Pipefish Mesocosm Film/Trial 1/8-12-20/8-12 AM 01.MTS",59.949,53.835,"Inactive","Male","","","",2,55.922,"Trial 1","AM","8","7"
"D:/Pipefish Mesocosm Film/Trial 1/8-12-20/8-12 AM 01.MTS",64.222,3.798,"Pose","Female","Non-s pose","Male","Front",2,55.922,"Trial 1","AM","8","7"
"D:/Pipefish Mesocosm Film/Trial 1/8-12-20/8-12 AM 01.MTS",67.641,0,"Move away","Male","","","",2,55.922,"Trial 1","AM","8","7"
"D:/Pipefish Mesocosm Film/Trial 1/8-12-20/8-12 AM 01.MTS",68.021,46.138,"Inactive","Female","","","",2,55.922,"Trial 1","AM","8","7"
"D:/Pipefish Mesocosm Film/Trial 1/8-12-20/8-12 AM 01.MTS",78.558,0,"Touch","Female","","","",2,55.922,"Trial 1","AM","8","7"
"D:/Pipefish Mesocosm Film/Trial 1/8-12-20/8-12 AM 01.MTS",89,0,"Move away","Male","","","",2,55.922,"Trial 1","AM","8","7"
"D:/Pipefish Mesocosm Film/Trial 1/8-12-20/8-12 AM 01.MTS",404.314,6.35999999999996,"Pose","Female","S pose","Female","Front",3,21.362,"Trial 1","AM","8","7"
"D:/Pipefish Mesocosm Film/Trial 1/8-12-20/8-12 AM 01.MTS",409.916,0,"Touch","Second female","","","",3,21.362,"Trial 1","AM","8","7"
"D:/Pipefish Mesocosm Film/Trial 1/8-12-20/8-12 AM 01.MTS",410.675,11.015,"Inactive","Female","","","",3,21.362,"Trial 1","AM","8","7"
"D:/Pipefish Mesocosm Film/Trial 1/8-12-20/8-12 AM 01.MTS",414.188,0,"Move away","Second female","","","",3,21.362,"Trial 1","AM","8","7"
"D:/Pipefish Mesocosm Film/Trial 1/8-12-20/8-12 AM 01.MTS",418.84,0,"Move away","Female","","","",3,21.362,"Trial 1","AM","8","7"
"D:/Pipefish Mesocosm Film/Trial 1/8-12-20/8-12 AM 01.MTS",1342.561,9.33000000000015,"Pose","Female","S pose","Male","Front",4,32.0919999999999,"Trial 1","AM","8","7"
"D:/Pipefish Mesocosm Film/Trial 1/8-12-20/8-12 AM 01.MTS",1342.94,31.3319999999999,"Inactive","Male","","","",4,32.0919999999999,"Trial 1","AM","8","7"
"D:/Pipefish Mesocosm Film/Trial 1/8-12-20/8-12 AM 01.MTS",1349.208,0,"Move away","Male","","","",4,32.0919999999999,"Trial 1","AM","8","7"
"D:/Pipefish Mesocosm Film/Trial 1/8-12-20/8-12 AM 01.MTS",1351.892,22.287,"Inactive","Female","","","",4,32.0919999999999,"Trial 1","AM","8","7"
"D:/Pipefish Mesocosm Film/Trial 1/8-12-20/8-12 AM 01.MTS",1730.315,12.249,"Pose","Female","S pose","Female","Front",5,37.787,"Trial 1","AM","8","7"
"D:/Pipefish Mesocosm Film/Trial 1/8-12-20/8-12 AM 01.MTS",1730.981,7.69100000000003,"Pose","Second female","S pose","Female","Front",5,37.787,"Trial 1","AM","8","7"
"D:/Pipefish Mesocosm Film/Trial 1/8-12-20/8-12 AM 01.MTS",1738.673,22.9759999999999,"Inactive","Second female","","","",5,37.787,"Trial 1","AM","8","7"
"D:/Pipefish Mesocosm Film/Trial 1/8-12-20/8-12 AM 01.MTS",1742.565,16.3299999999999,"Inactive","Female","","","",5,37.787,"Trial 1","AM","8","7"
"D:/Pipefish Mesocosm Film/Trial 1/8-12-20/8-12 AM 01.MTS",1744.275,0,"Move away","Female","","","",5,37.787,"Trial 1","AM","8","7"
"D:/Pipefish Mesocosm Film/Trial 1/8-12-20/8-12 AM 01.MTS",2701.89,2.84900000000016,"Wiggle","Male","Active wiggle","Male","3",6,141.142,"Trial 1","AM","8","7"
"D:/Pipefish Mesocosm Film/Trial 1/8-12-20/8-12 AM 01.MTS",2703.504,3.98599999999988,"Inactive","Female","","","",6,141.142,"Trial 1","AM","8","7"
"D:/Pipefish Mesocosm Film/Trial 1/8-12-20/8-12 AM 01.MTS",2704.74,55.8230000000003,"Inactive","Male","","","",6,141.142,"Trial 1","AM","8","7"
"D:/Pipefish Mesocosm Film/Trial 1/8-12-20/8-12 AM 01.MTS",2707.491,5.31500000000005,"Wiggle","Female","Active wiggle","Male","2",6,141.142,"Trial 1","AM","8","7"
"D:/Pipefish Mesocosm Film/Trial 1/8-12-20/8-12 AM 01.MTS",2712.807,128.082,"Inactive","Female","","","",6,141.142,"Trial 1","AM","8","7"
"D:/Pipefish Mesocosm Film/Trial 1/8-12-20/8-12 AM 01.MTS",2720.593,0,"Move away","Male","","","",6,141.142,"Trial 1","AM","8","7"
"D:/Pipefish Mesocosm Film/Trial 1/8-12-20/8-12 AM 01.MTS",2760.564,2.85500000000002,"Wiggle","Male","Subtle wiggle","Female","3",6,141.142,"Trial 1","AM","8","7"
"D:/Pipefish Mesocosm Film/Trial 1/8-12-20/8-12 AM 01.MTS",2763.42,6.92399999999998,"Inactive","Male","","","",6,141.142,"Trial 1","AM","8","7"
"D:/Pipefish Mesocosm Film/Trial 1/8-12-20/8-12 AM 01.MTS",2765.503,0,"Move away","Female","","","",6,141.142,"Trial 1","AM","8","7"
"D:/Pipefish Mesocosm Film/Trial 1/8-12-20/8-12 AM 01.MTS",2770.345,14.8090000000002,"Surrounding","Male","","","",6,141.142,"Trial 1","AM","8","7"
"D:/Pipefish Mesocosm Film/Trial 1/8-12-20/8-12 AM 01.MTS",2770.726,5.5029999999997,"Wiggle","Second female","Active wiggle","Male","3",6,141.142,"Trial 1","AM","8","7"
"D:/Pipefish Mesocosm Film/Trial 1/8-12-20/8-12 AM 01.MTS",2776.23,2.65999999999985,"Pose","Second female","Non-s pose","Male","Front",6,141.142,"Trial 1","AM","8","7"
"D:/Pipefish Mesocosm Film/Trial 1/8-12-20/8-12 AM 01.MTS",2778.891,61.998,"Inactive","Second female","","","",6,141.142,"Trial 1","AM","8","7"
"D:/Pipefish Mesocosm Film/Trial 1/8-12-20/8-12 AM 01.MTS",2779.175,0,"Move away","Second female","","","",6,141.142,"Trial 1","AM","8","7"
"D:/Pipefish Mesocosm Film/Trial 1/8-12-20/8-12 AM 01.MTS",2785.155,55.828,"Inactive","Male","","","",6,141.142,"Trial 1","AM","8","7"
"D:/Pipefish Mesocosm Film/Trial 1/8-12-20/8-12 AM 01.MTS",2796.265,0,"Touch","Male","","","",6,141.142,"Trial 1","AM","8","7"
"D:/Pipefish Mesocosm Film/Trial 1/8-12-20/8-12 AM 01.MTS",2808.798,0,"Move away","Second female","","","",6,141.142,"Trial 1","AM","8","7"
"D:/Pipefish Mesocosm Film/Trial 1/8-12-20/8-12 AM 03.MTS",127.836,9.11399999999999,"Inactive","Female","","","",7,73.109,"Trial 1","AM","8","7"
"D:/Pipefish Mesocosm Film/Trial 1/8-12-20/8-12 AM 03.MTS",129.546,4.74700000000001,"Wiggle","Male","Subtle wiggle","Female","4",7,73.109,"Trial 1","AM","8","7"
"D:/Pipefish Mesocosm Film/Trial 1/8-12-20/8-12 AM 03.MTS",134.294,64.183,"Inactive","Male","","","",7,73.109,"Trial 1","AM","8","7"
"D:/Pipefish Mesocosm Film/Trial 1/8-12-20/8-12 AM 03.MTS",136.951,5.792,"Wiggle","Female","Active wiggle","Male","3",7,73.109,"Trial 1","AM","8","7"
"D:/Pipefish Mesocosm Film/Trial 1/8-12-20/8-12 AM 03.MTS",142.744,8.828,"Inactive","Female","","","",7,73.109,"Trial 1","AM","8","7"
"D:/Pipefish Mesocosm Film/Trial 1/8-12-20/8-12 AM 03.MTS",151.573,4.17699999999999,"Wiggle","Female","Active wiggle","Male","3",7,73.109,"Trial 1","AM","8","7"
"D:/Pipefish Mesocosm Film/Trial 1/8-12-20/8-12 AM 03.MTS",155.751,42.725,"Inactive","Female","","","",7,73.109,"Trial 1","AM","8","7"
"D:/Pipefish Mesocosm Film/Trial 1/8-12-20/8-12 AM 03.MTS",168.855,0,"Move away","Male","","","",7,73.109,"Trial 1","AM","8","7"
"D:/Pipefish Mesocosm Film/Trial 1/8-12-20/8-12 AM 03.MTS",266.93,67.413,"Inactive","Female","","","",8,69.406,"Trial 1","AM","8","7"
"D:/Pipefish Mesocosm Film/Trial 1/8-12-20/8-12 AM 03.MTS",268.735,3.32499999999999,"Wiggle","Male","Active wiggle","Female","3",8,69.406,"Trial 1","AM","8","7"
"D:/Pipefish Mesocosm Film/Trial 1/8-12-20/8-12 AM 03.MTS",272.061,62.282,"Inactive","Male","","","",8,69.406,"Trial 1","AM","8","7"
"D:/Pipefish Mesocosm Film/Trial 1/8-12-20/8-12 AM 03.MTS",306.618,0,"Move away","Female","","","",8,69.406,"Trial 1","AM","8","7"
"D:/Pipefish Mesocosm Film/Trial 1/8-12-20/8-12 AM 03.MTS",334.342,0,"Move away","Female","","","",8,69.406,"Trial 1","AM","8","7"
"D:/Pipefish Mesocosm Film/Trial 1/8-12-20/8-12 AM 03.MTS",352.289,63.77,"Inactive","Female","","","",9,64.77,"Trial 1","AM","8","7"
